max_connections,platform_max_cpu_usage,platform_mean_cpu_usage,virtual_max_cpu_usage,virtual_mean_cpu_usage,coroutines_max_cpu_usage,coroutines_mean_cpu_usage,goroutines_max_cpu_usage,goroutines_mean_cpu_usage
10,47,33,107,45,104,57,43,41
11,77,36,104,43,104,69,48,42
12,84,38,100,43,107,74,47,43
13,63,37,104,45,105,82,48,44
14,59,39,101,46,104,85,48,44
15,86,42,105,47,105,84,48,45
16,87,43,101,46,105,89,48,44
17,68,41,99,45,106,84,48,45
18,69,43,93,48,105,90,51,47
19,67,44,105,50,105,92,49,45
20,90,47,101,49,106,93,50,46
21,89,45,99,49,107,95,52,47
22,64,43,102,50,106,93,50,48
23,88,45,98,51,107,96,51,47
24,76,43,99,50,106,97,52,47
25,85,43,101,51,105,95,53,49
26,94,46,103,52,105,67,53,48
27,84,43,104,52,107,97,52,49
28,78,43,106,53,105,97,54,50
29,73,43,101,54,105,98,54,50
30,82,44,93,52,105,99,53,49
31,84,44,104,52,108,97,54,48
32,73,42,102,53,107,98,56,48
33,84,43,104,51,108,97,54,48
34,96,44,103,51,106,95,54,48
35,91,44,100,50,105,95,54,48
36,77,42,106,49,107,97,51,46
37,49,42,106,45,105,98,52,43
38,62,43,92,45,105,99,50,45
39,65,43,105,47,105,97,50,45
40,66,42,61,44,106,100,50,42
