max_connections,virtual_execution_time,platform_execution_time,coroutines_execution_time,goroutines_execution_time
10,43.1,55.6,73.6,47.3
11,39.1,53.2,65.5,45.1
12,35.2,47.6,65.7,41.4
13,33.0,47.5,57.5,39.4
14,31.0,45.3,59.3,37.1
15,29.3,43.5,63.7,41.7
16,26.9,41.3,53.6,33.1
17,25.1,37.5,57.5,31.5
18,27.4,37.4,53.8,29.0
19,29.1,37.0,50.4,29.0
20,29.1,34.3,52.0,27.4
21,37.2,33.5,49.4,25.4
22,41.6,33.6,53.8,25.4
23,45.6,31.4,55.5,25.4
24,45.9,31.2,54.0,23.2
25,45.7,31.0,51.6,23.1
26,43.6,29.6,75.9,23.0
27,50.2,29.0,53.5,21.4
28,47.9,29.2,51.5,21.0
29,47.6,28.5,49.4,21.1
30,50.0,27.6,59.8,21.7
31,50.2,31.1,55.6,23.3
32,53.7,31.5,49.9,25.2
33,54.1,37.2,55.8,27.3
34,53.7,39.3,51.5,31.4
35,54.0,37.5,51.8,38.8
36,53.9,44.0,53.6,41.3
37,59.6,46.9,55.3,45.2
38,57.3,46.4,56.4,45.1
39,57.8,50.4,55.4,50.7
40,59.3,56.0,58.7,46.3
