max_connections,platform_max_memory_usage,platform_mean_memory_usage,virtual_max_memory_usage,virtual_mean_memory_usage,coroutines_max_memory_usage,coroutines_mean_memory_usage,goroutines_max_memory_usage,goroutines_mean_memory_usage
10,226,218,545,472,500,487,26,25
11,216,208,591,486,507,483,27,26
12,215,207,544,481,510,487,26,26
13,214,206,540,455,778,674,27,27
14,227,219,591,477,522,491,25,25
15,220,213,567,459,532,499,28,27
16,226,218,558,477,525,486,26,26
17,227,219,526,452,671,609,27,25
18,230,223,581,497,693,609,28,28
19,220,214,536,438,638,582,28,26
20,217,211,503,429,567,516,29,28
21,228,223,623,496,554,510,29,28
22,232,229,599,477,685,598,29,28
23,222,220,563,463,701,617,29,28
24,227,224,548,430,613,547,28,28
25,219,216,547,447,570,503,29,28
26,227,224,555,459,633,589,32,32
27,215,213,556,455,667,588,28,28
28,212,211,540,439,657,574,28,28
29,206,206,597,466,649,611,29,29
30,210,209,546,445,581,527,28,28
31,220,217,553,471,658,580,28,27
32,224,221,488,422,684,598,29,28
33,224,215,533,437,619,559,32,30
34,221,218,470,414,738,592,31,30
35,220,219,532,464,631,556,30,29
36,201,198,690,576,727,629,31,30
37,233,224,531,470,656,587,30,29
38,226,222,531,439,619,557,30,29
39,227,223,528,454,623,544,30,30
40,215,214,536,462,654,555,30,29
