max_depth,virtual_execution_time,platform_execution_time,coroutines_execution_time,goroutines_execution_time
1,134.7,133.5,171.5,117.8
2,82.2,80.2,88.4,70.3
3,52.5,50.7,65.5,45.7
4,37.7,35.9,47.8,35.6
5,38.0,38.1,45.1,36.2
6,38.6,38.2,47.0,35.3
7,38.6,37.0,46.9,35.4
8,38.1,38.0,48.0,34.7
9,37.6,38.9,48.3,34.7
10,37.7,41.7,47.2,34.9
11,37.4,46.0,47.4,35.0
12,38.3,54.9,47.4,35.4
13,38.2,68.2,47.0,35.8
14,36.5,109.9,48.5,36.2
15,38.9,232.3,46.3,36.8
16,42.1,623.8,51.7,37.8
17,42.4,1782.9,48.9,39.8
18,45.1,5551.5,47.1,42.5
19,51.5,19748.4,53.1,49.3
