max_depth,virtual_max_memory_usage,virtual_mean_memory_usage,platform_max_memory_usage,platform_mean_memory_usage,coroutines_max_memory_usage,coroutines_mean_memory_usage,goroutines_max_memory_usage,goroutines_mean_memory_usage
1,2212.0,2203.0,2206,2192,3847.0,3842.0,355.0,342.0
2,2210.0,2207.0,2211,2196,3848.0,3845.0,390.0,343.0
3,2213.0,2211.0,2083,2070,3832.0,3827.0,456.0,347.0
4,2213.0,2210.0,2084,2070,3851.0,3834.0,497.0,355.0
5,2214.0,2209.0,2087,2081,3850.0,3840.0,487.0,353.0
6,2218.0,2212.0,2095,2085,3854.0,3848.0,491.0,354.0
7,2219.0,2209.0,2059,2038,3854.0,3835.0,493.0,354.0
8,2217.0,2212.0,2066,2043,3851.0,3832.0,489.0,354.0
9,2217.0,2214.0,2096,2033,3857.0,3834.0,487.0,355.0
10,2217.0,2212.0,2132,2072,3850.0,3830.0,493.0,356.0
11,2088.0,2072.0,2237,2107,3854.0,3836.0,493.0,358.0
12,2087.0,2080.0,2379,2152,4004.0,3952.0,488.0,361.0
13,2089.0,2077.0,2647,2275,4006.0,3962.0,507.0,392.0
14,2090.0,2087.0,2943,2368,3929.0,3888.0,500.0,411.0
15,2055.0,2043.0,3600,2764,3856.0,3849.0,974.0,546.0
16,2201.0,2054.0,4489,3316,3864.0,3851.0,638.0,447.0
17,2417.0,2347.0,5296,4251,3871.0,3858.0,561.0,477.0
18,2505.0,2475.0,6963,5594,3895.0,3881.0,833.0,637.0
19,4216.0,4147.0,8114,6984,3938.0,3921.0,945.0,877.0
